organism_id,ShootArea,distFromHypocotyl,chlorophyll,Root_area,tortuosity,PR_length,LR_length,plant_id
311,0.189,2.949,3.831,0.439,1.098,8.038,17.82,H3_14
312,0.228,2.949,5.583,0.439,1.103,10.917,17.82,H3_15
313,0.720,2.949,17.724,0.439,1.102,8.025,17.82,H3_16
314,0.303,2.929,5.004,0.417,1.109,10.829,15.92,I1_1
315,0.198,2.929,3.627,0.417,1.144,7.536,15.92,I1_2
316,0.225,2.929,3.572,0.417,1.141,7.965,15.92,I1_3
317,0.414,2.929,6.647,0.417,1.086,3.704,15.92,I1_4
318,0.393,2.929,6.264,0.417,1.116,7.312,15.92,I1_5
319,0.372,2.929,5.881,0.417,1.136,7.753,15.92,I1_6
320,0.067,2.929,1.122,0.417,1.101,6.91,15.92,I1_7
321,0.154,2.929,3.543,0.417,1.113,10.921,15.92,I1_8
322,0.311,2.929,6.219,0.417,1.162,8.899,15.92,I1_9
323,0.304,2.929,5.707,0.417,1.115,3.756,15.92,I1_10
324,0.041,2.929,0.537,0.417,1.087,10.409,15.92,I1_11
325,0.212,2.929,3.171,0.417,1.148,6.204,15.92,I1_12
326,0.062,3.054,0.771,0.357,1.120,10.78,13.71,I1_13
327,0.257,3.054,3.843,0.357,1.176,10.701,13.71,I1_14
328,0.309,3.054,5.461,0.357,1.080,0.054,13.71,I1_15
329,0.128,3.054,2.326,0.357,1.078,6.853,13.71,I1_16
330,0.160,3.054,2.949,0.357,1.183,6.146,13.71,I1_17
331,0.151,3.054,3.059,0.357,1.115,6.869,13.71,I1_18
332,0.284,1.778,5.136,0.276,1.111,4.443,9,I1_19
333,0.194,3.054,3.748,0.357,1.101,6.87,13.71,I1_20
334,0.242,1.778,5.072,0.276,1.250,5.134,9,I1_21
335,0.225,1.778,3.970,0.276,1.149,6.175,9,I1_22
336,0.392,2.971,7.553,0.578,1.124,10.077,16.4,I2_1
337,0.368,2.971,5.639,0.578,1.104,6.493,16.4,I2_2
338,0.329,2.971,6.185,0.578,1.122,9.999,16.4,I2_3
339,0.440,2.971,7.740,0.578,1.115,10.166,16.4,I2_4
340,0.434,2.971,7.901,0.578,1.137,7.127,16.4,I2_5
341,0.312,2.971,6.730,0.578,1.086,6.844,16.4,I2_6
342,0.325,2.971,5.877,0.578,1.129,10.317,16.4,I2_7
343,0.389,2.971,6.693,0.578,1.104,10.897,16.4,I2_8
344,0.386,2.971,7.252,0.578,1.151,7.091,16.4,I2_9
345,0.386,2.971,8.139,0.578,1.143,5.175,16.4,I2_10
346,0.376,2.082,6.813,0.340,1.103,10.168,14.33,I2_11
347,0.547,2.082,9.566,0.340,1.113,6.706,14.33,I2_12
348,0.536,2.082,8.613,0.340,1.094,5.855,14.33,I2_13
349,0.295,2.082,5.473,0.340,1.144,8.18,14.33,I2_14
350,0.284,2.082,4.576,0.340,1.119,9.71,14.33,I2_15
351,0.296,2.082,5.243,0.340,1.164,4.63,14.33,I2_16
352,0.304,2.082,5.701,0.340,1.150,6.534,14.33,I2_17
353,0.313,2.082,5.249,0.340,1.154,5.049,14.33,I2_18
354,0.388,2.082,7.248,0.340,1.152,4.07,14.33,I2_19
355,0.240,1.330,4.844,0.149,1.056,6.705,8,J1_1
356,0.157,1.871,2.656,0.219,1.070,6.962,13,J1_2
357,0.167,2.127,2.853,0.219,1.058,5.678,11,J1_3
358,0.180,1.910,3.074,0.264,1.095,6.927,17.5,J1_4
359,0.224,1.425,4.089,0.174,1.077,5.106,13,J1_5
360,0.221,1.888,3.539,0.326,1.084,7.159,19,J1_6
361,0.246,2.319,4.437,0.256,1.060,6.961,14.14,J1_7
362,0.133,2.319,2.137,0.256,1.044,6.904,14.14,J1_8
363,0.025,0.437,0.208,0.028,1.055,0.886,2,J1_9
364,0.194,2.319,3.710,0.256,1.055,5.572,14.14,J1_10
365,0.096,2.319,1.527,0.256,1.074,4.439,14.14,J1_11
366,0.217,2.319,4.033,0.256,1.078,9.76,14.14,J1_12
367,0.115,2.319,2.008,0.256,1.064,7.81,14.14,J1_13
368,0.168,2.319,3.208,0.256,1.087,9.874,14.14,J1_14
369,0.148,2.770,2.617,0.344,1.066,9.245,18,J1_15
370,0.327,1.910,6.648,0.264,1.076,8.27,17.5,J1_16
371,0.082,2.095,1.330,0.218,1.063,7.428,14,J1_17
372,0.151,2.127,3.343,0.219,1.096,7.541,11,J1_18
373,0.086,0.000,1.749,0.046,1.058,2.574,1,J1_19
